Domain,Area,Item,Year,Area harvested,Flag,Flag Description,Yield,Production
Crops and livestock products,United States of America,Apricots,2011,4796.0,A,Official figure,126072.0,60464.0
Crops and livestock products,United States of America,Apricots,2012,4593.0,A,Official figure,120089.0,55157.0
Crops and livestock products,United States of America,Apricots,2013,4391.0,A,Official figure,126099.0,55370.0
Crops and livestock products,United States of America,Apricots,2014,4379.0,A,Official figure,134508.0,58901.0
Crops and livestock products,United States of America,Apricots,2015,3893.0,A,Official figure,97072.0,37790.0
Crops and livestock products,United States of America,Apricots,2016,4450.0,A,Official figure,130584.0,58110.0
Crops and livestock products,United States of America,Apricots,2017,4570.0,A,Official figure,90613.0,41410.0
Crops and livestock products,United States of America,Apricots,2018,4290.0,A,Official figure,83636.0,35880.0
Crops and livestock products,United States of America,Apricots,2019,3880.0,A,Official figure,119948.0,46540.0
Crops and livestock products,United States of America,Apricots,2020,3424.0,A,Official figure,82710.0,28320.0
Crops and livestock products,United States of America,Apricots,2021,2902.0,A,Official figure,124948.0,36260.0
Crops and livestock products,United States of America,Apricots,2022,2505.0,A,Official figure,107345.0,26890.0
Crops and livestock products,United States of America,Artichokes,1980,3729.0,A,Official figure,114411.0,42664.0
Crops and livestock products,United States of America,Artichokes,1981,3937.0,A,Official figure,146492.0,57674.0
Crops and livestock products,United States of America,Artichokes,1982,4638.0,A,Official figure,113702.0,52735.0
Crops and livestock products,United States of America,Artichokes,1983,4791.0,A,Official figure,84485.0,40477.0
Crops and livestock products,United States of America,Artichokes,1984,5000.0,A,Official figure,99660.0,49830.0
Crops and livestock products,United States of America,Artichokes,1985,4869.0,A,Official figure,124642.0,60688.0
Crops and livestock products,United States of America,Artichokes,1986,5406.0,A,Official figure,88246.0,47706.0
Crops and livestock products,United States of America,Artichokes,1987,4502.0,A,Official figure,122574.0,55183.0
Crops and livestock products,United States of America,Artichokes,1988,4814.0,A,Official figure,117441.0,56536.0
Crops and livestock products,United States of America,Artichokes,1989,4616.0,A,Official figure,127366.0,58792.0
Crops and livestock products,United States of America,Artichokes,1990,4015.0,A,Official figure,125895.0,50547.0
Crops and livestock products,United States of America,Artichokes,1991,3966.0,A,Official figure,137968.0,54718.0
Crops and livestock products,United States of America,Artichokes,1992,3885.0,A,Official figure,128906.0,50080.0
Crops and livestock products,United States of America,Artichokes,1993,3720.0,A,Official figure,123387.0,45900.0
Crops and livestock products,United States of America,Artichokes,1994,3720.0,A,Official figure,145833.0,54250.0
Crops and livestock products,United States of America,Artichokes,1995,3602.0,A,Official figure,103134.0,37149.0
Crops and livestock products,United States of America,Artichokes,1996,3602.0,A,Official figure,112077.0,40370.0
Crops and livestock products,United States of America,Artichokes,1997,3764.0,A,Official figure,112062.0,42180.0
Crops and livestock products,United States of America,Artichokes,1998,3930.0,A,Official figure,100763.0,39600.0
Crops and livestock products,United States of America,Artichokes,1999,3970.0,A,Official figure,128539.0,51030.0
Crops and livestock products,United States of America,Artichokes,2000,3560.0,A,Official figure,128933.0,45900.0
Crops and livestock products,United States of America,Artichokes,2001,3240.0,A,Official figure,140000.0,45360.0
Crops and livestock products,United States of America,Artichokes,2002,3320.0,A,Official figure,128825.0,42770.0
Crops and livestock products,United States of America,Artichokes,2003,2910.0,A,Official figure,157113.0,45720.0
Crops and livestock products,United States of America,Artichokes,2004,3040.0,A,Official figure,123092.0,37420.0
Crops and livestock products,United States of America,Artichokes,2005,3200.0,A,Official figure,123188.0,39420.0
Crops and livestock products,United States of America,Artichokes,2006,3520.0,A,Official figure,96761.0,34060.0
Crops and livestock products,United States of America,Artichokes,2007,3890.0,A,Official figure,123136.0,47900.0
Crops and livestock products,United States of America,Artichokes,2008,3560.0,A,Official figure,145758.0,51890.0
Crops and livestock products,United States of America,Artichokes,2009,3480.0,A,Official figure,140115.0,48760.0
Crops and livestock products,United States of America,Artichokes,2010,2910.0,A,Official figure,134674.0,39190.0
Crops and livestock products,United States of America,Artichokes,2011,2995.0,A,Official figure,151299.0,45314.0
Crops and livestock products,United States of America,Artichokes,2012,2950.0,A,Official figure,162847.0,48040.0
Crops and livestock products,United States of America,Artichokes,2013,2870.0,A,Official figure,151568.0,43500.0
Crops and livestock products,United States of America,Artichokes,2014,2950.0,A,Official figure,145932.0,43050.0
Crops and livestock products,United States of America,Artichokes,2015,2750.0,A,Official figure,151418.0,41640.0
Crops and livestock products,United States of America,Artichokes,2016,2750.0,A,Official figure,162618.0,44720.0
Crops and livestock products,United States of America,Artichokes,2017,2914.0,A,Official figure,145697.0,42456.0
Crops and livestock products,United States of America,Artichokes,2018,2792.0,A,Official figure,162543.0,45382.0
Crops and livestock products,United States of America,Artichokes,2019,2671.0,A,Official figure,162524.0,43409.0
Crops and livestock products,United States of America,Artichokes,2020,2064.0,A,Official figure,168120.0,34700.0
Crops and livestock products,United States of America,Artichokes,2021,1943.0,A,Official figure,184894.0,35925.0
Crops and livestock products,United States of America,Artichokes,2022,1821.0,A,Official figure,184948.0,33679.0
Crops and livestock products,United States of America,Asparagus,1980,33569.0,A,Official figure,22579.0,75795.0
Crops and livestock products,United States of America,Asparagus,1981,33180.0,A,Official figure,23404.0,77655.0
Crops and livestock products,United States of America,Asparagus,1982,32700.0,E,Estimated value,22936.0,75000.0
Crops and livestock products,United States of America,Asparagus,1983,33600.0,E,Estimated value,23006.0,77300.0
Crops and livestock products,United States of America,Asparagus,1984,36394.0,A,Official figure,23631.0,86001.0
Crops and livestock products,United States of America,Asparagus,1985,37009.0,A,Official figure,26179.0,96887.0
Crops and livestock products,United States of America,Asparagus,1986,38920.0,A,Official figure,25976.0,101100.0
Crops and livestock products,United States of America,Asparagus,1987,40400.0,A,Official figure,26351.0,106460.0
Crops and livestock products,United States of America,Asparagus,1988,40840.0,A,Official figure,26900.0,109860.0
Crops and livestock products,United States of America,Asparagus,1989,39870.0,A,Official figure,28385.0,113170.0
Crops and livestock products,United States of America,Asparagus,1990,38280.0,A,Official figure,28997.0,111000.0
Crops and livestock products,United States of America,Asparagus,1991,36140.0,A,Official figure,28188.0,101870.0
Crops and livestock products,United States of America,Asparagus,1992,34850.0,A,Official figure,30588.0,106600.0
Crops and livestock products,United States of America,Asparagus,1993,32840.0,A,Official figure,30429.0,99930.0
Crops and livestock products,United States of America,Asparagus,1994,31060.0,A,Official figure,32090.0,99670.0
Crops and livestock products,United States of America,Asparagus,1995,29275.0,A,Official figure,33407.0,97800.0
Crops and livestock products,United States of America,Asparagus,1996,29768.0,A,Official figure,30308.0,90220.0
Crops and livestock products,United States of America,Asparagus,1997,29960.0,A,Official figure,30674.0,91900.0
Crops and livestock products,United States of America,Asparagus,1998,30120.0,A,Official figure,29804.0,89770.0
Crops and livestock products,United States of America,Asparagus,1999,30710.0,A,Official figure,32139.0,98700.0
Crops and livestock products,United States of America,Asparagus,2000,31323.0,A,Official figure,32901.0,103056.0
Crops and livestock products,United States of America,Asparagus,2001,28389.0,A,Official figure,33202.0,94256.0
Crops and livestock products,United States of America,Asparagus,2002,26710.0,A,Official figure,31723.0,84731.0
Crops and livestock products,United States of America,Asparagus,2003,23472.0,A,Official figure,35616.0,83597.0
Crops and livestock products,United States of America,Asparagus,2004,24888.0,A,Official figure,37581.0,93531.0
Crops and livestock products,United States of America,Asparagus,2005,19951.0,A,Official figure,34876.0,69581.0
Crops and livestock products,United States of America,Asparagus,2006,17483.0,A,Official figure,29914.0,52299.0
Crops and livestock products,United States of America,Asparagus,2007,15621.0,A,Official figure,38416.0,60010.0
Crops and livestock products,United States of America,Asparagus,2008,13030.0,A,Official figure,33139.0,43180.0
Crops and livestock products,United States of America,Asparagus,2009,11820.0,A,Official figure,34501.0,40780.0
Crops and livestock products,United States of America,Asparagus,2010,11330.0,A,Official figure,31986.0,36240.0
Crops and livestock products,United States of America,Asparagus,2011,10846.0,A,Official figure,34294.0,37195.0
Crops and livestock products,United States of America,Asparagus,2012,10240.0,A,Official figure,33711.0,34520.0
Crops and livestock products,United States of America,Asparagus,2013,9910.0,A,Official figure,34874.0,34560.0
Crops and livestock products,United States of America,Asparagus,2014,9630.0,A,Official figure,34995.0,33700.0
Crops and livestock products,United States of America,Asparagus,2015,8780.0,A,Official figure,36390.0,31950.0
Crops and livestock products,United States of America,Asparagus,2016,10480.0,A,Official figure,36050.0,37780.0
Crops and livestock products,United States of America,Asparagus,2017,10640.0,A,Official figure,35855.0,38150.0
Crops and livestock products,United States of America,Asparagus,2018,8780.0,A,Official figure,40387.0,35460.0
Crops and livestock products,United States of America,Asparagus,2019,8256.0,A,Official figure,40823.0,33702.0
Crops and livestock products,United States of America,Asparagus,2020,7284.0,A,Official figure,38808.0,28268.0
Crops and livestock products,United States of America,Asparagus,2021,6435.0,A,Official figure,40699.0,26190.0
Crops and livestock products,United States of America,Asparagus,2022,6070.0,A,Official figure,40008.0,24285.0
Crops and livestock products,United States of America,Avocados,1980,27150.0,A,Official figure,89816.0,243850.0
Crops and livestock products,United States of America,Avocados,1981,29540.0,A,Official figure,56137.0,165830.0
Crops and livestock products,United States of America,Avocados,1982,31560.0,A,Official figure,68039.0,214730.0
Crops and livestock products,United States of America,Avocados,1983,33590.0,A,Official figure,74001.0,248570.0
Crops and livestock products,United States of America,Avocados,1984,33990.0,A,Official figure,61253.0,208200.0
Crops and livestock products,United States of America,Avocados,1985,34480.0,A,Official figure,49594.0,171000.0
Crops and livestock products,United States of America,Avocados,1986,34920.0,A,Official figure,78723.0,274900.0
